Module	Gene1	Gene2
M3	SHH	SLC4A1AP
M3	SHH	ORC3
M3	VAPB	CRYM
M3	SMARCD1	CYP2E1
M3	TMEM30A	UNC5D
M3	BACH1	PIP5K1B
M3	MYO15A	EPHA5
M3	MYO15A	CBLN1
M3	POLR3D	CBLN4
M3	WNK4	DLGAP2
M3	CCK	AURKA
M3	CCK	HRAS
M3	CCK	PTPRN
M3	CCK	DPYSL3
M3	CCK	PTP4A1
M3	CCK	KCNIP1
M3	CCK	SCYL2
M3	CCK	ARMC8
M3	CCK	PECR
M3	CCK	SLC22A1
M3	CCK	NT5E
M3	CCK	ZDHHC20
M3	CCK	TIMM10
M3	CCK	EPHA3
M3	CCK	MUC6
M3	CCK	DUOX2
M3	CCK	SCN9A
M3	CCK	RRM2
M3	CCK	LSMEM1
M3	CCK	ZFP36L2
M3	DIO2	PER3
M3	DIO2	CASP3
M3	DIO2	GPR12
M3	DIO2	KPNA3
M3	DIO2	DNAJB9
M3	DIO2	DOCK4
M3	DIO2	JUP
M3	DIO2	SLC3A2
M3	DIO2	GPC3
M3	DIO2	ACKR3
M3	DIO2	MYO16
M3	DIO2	TCF21
M3	DIO2	BCAP29
M3	DIO2	KISS1R
M3	DIO2	KLHDC9
M3	DIO2	VPS28
M3	DIO2	CSRP3
M3	DIO2	CTBS
M3	DIO2	MPZL1
M3	DIO2	PTP4A1
M3	DIO2	PRKAB2
M3	DIO2	SIPA1L3
M3	DIO2	RINT1
M3	DIO2	NEIL1
M3	DIO2	BHLHB9
M3	DIO2	RAB5B
M3	DIO2	HMGCS2
M3	DIO2	STXBP3
M3	DIO2	SDCCAG8
M3	DIO2	OSTF1
M3	DIO2	CCR4
M3	DIO2	APBB1IP
M3	DIO2	NMT2
M3	DIO2	KDM3A
M3	DIO2	NAT10
M3	DIO2	ADORA2A
M3	DIO2	HFE
M3	DIO2	MEGF8
M3	DIO2	HSPA2
M3	DIO2	DGCR14
M3	DIO2	MMACHC
M3	DIO2	NRG2
M3	DIO2	KIF3B
M3	DIO2	LRRK2
M3	DIO2	ABCA6
M3	DIO2	EXTL1
M3	NTSR1	LACRT
