drug1	drug2	synergy_score	module	comparison	drug1_MOA	drug1_target_hgnc_symbol	drug2_MOA	drug2_target_hgnc_symbol
LEVONORGESTREL	CHLORPROMAZINE	0.160927716261359	M1	pbta_hgg_qSig	Progesterone receptor agonist	PGR	D2-like dopamine receptor antagonist	DRD2
LEVONORGESTREL	CHLORPROMAZINE	0.160927716261359	M1	pbta_hgg_qSig	Progesterone receptor agonist	PGR	D2-like dopamine receptor antagonist	DRD4
LEVONORGESTREL	CHLORPROMAZINE	0.160927716261359	M1	pbta_hgg_qSig	Progesterone receptor agonist	PGR	Serotonin 2a (5-HT2a) receptor antagonist	HTR2A
LEVONORGESTREL	CHLORPROMAZINE	0.160927716261359	M1	pbta_hgg_qSig	Progesterone receptor agonist	PGR	D2-like dopamine receptor antagonist	DRD3
SIROLIMUS	CHLORPROMAZINE	0.1404559395569	M1	pbta_hgg_qSig	FK506-binding protein 1A inhibitor	FKBP1A	D2-like dopamine receptor antagonist	DRD2
SIROLIMUS	CHLORPROMAZINE	0.1404559395569	M1	pbta_hgg_qSig	FK506-binding protein 1A inhibitor	FKBP1A	D2-like dopamine receptor antagonist	DRD4
SIROLIMUS	CHLORPROMAZINE	0.1404559395569	M1	pbta_hgg_qSig	FK506-binding protein 1A inhibitor	FKBP1A	Serotonin 2a (5-HT2a) receptor antagonist	HTR2A
SIROLIMUS	CHLORPROMAZINE	0.1404559395569	M1	pbta_hgg_qSig	FK506-binding protein 1A inhibitor	FKBP1A	D2-like dopamine receptor antagonist	DRD3
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD2	Potassium channel, inwardly rectifying, subfamily J, member 11 opener	KCNJ11
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD2	Potassium channel, inwardly rectifying, subfamily J, member 8 opener	KCNJ8
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD4	Potassium channel, inwardly rectifying, subfamily J, member 11 opener	KCNJ11
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD4	Potassium channel, inwardly rectifying, subfamily J, member 8 opener	KCNJ8
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	Serotonin 2a (5-HT2a) receptor antagonist	HTR2A	Potassium channel, inwardly rectifying, subfamily J, member 11 opener	KCNJ11
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	Serotonin 2a (5-HT2a) receptor antagonist	HTR2A	Potassium channel, inwardly rectifying, subfamily J, member 8 opener	KCNJ8
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD3	Potassium channel, inwardly rectifying, subfamily J, member 11 opener	KCNJ11
CHLORPROMAZINE	DIAZOXIDE	0.128113687395877	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD3	Potassium channel, inwardly rectifying, subfamily J, member 8 opener	KCNJ8
CHLORPROMAZINE	OXAPROZIN	0.119324738148956	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD2	Cyclooxygenase inhibitor	PTGS1
CHLORPROMAZINE	OXAPROZIN	0.119324738148956	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD2	Cyclooxygenase inhibitor	PTGS2
CHLORPROMAZINE	OXAPROZIN	0.119324738148956	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD4	Cyclooxygenase inhibitor	PTGS1
CHLORPROMAZINE	OXAPROZIN	0.119324738148956	M1	pbta_hgg_qSig	D2-like dopamine receptor antagonist	DRD4	Cyclooxygenase inhibitor	PTGS2
