id	gene	entrez_id	variant	disease	doid	phenotypes	drugs	drug_interaction_type	evidence_type	evidence_direction	evidence_level	clinical_significance	evidence_statement	citation_id	source_type	asco_abstract_id	citation	nct_ids	rating	evidence_status	evidence_id	variant_id	gene_id	chromosome	start	stop	reference_bases	variant_bases	representative_transcript	chromosome2	start2	stop2	representative_transcript2	ensembl_version	reference_build	variant_summary	variant_origin	last_review_date	evidence_civic_url	variant_civic_url	gene_civic_url	is_flagged	variant_upper
419	IKZF1	10320	DELETION	B-lymphoblastic Leukemia/lymphoma	0080630	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In children with bone marrow relapsed B-cell precursor acute lymphoblastic leukemia, those with deletions of IKZF1 had worse event-free and overall survival than patients without deletions.	22699455	PubMed	NA	Krentz et al., 2013, Leukemia	NA	4	accepted	484	200	73	7	50344378	50472799	NA	NA	ENST00000331340.3	NA	NA	NA	NA	75	GRCh37	IKZF1 deletions have been reported in a variety of cancer types including pediatric B-cell precursor acute lymphoblastic leukemia (BCP ALL), Chronic Myeloid Leukemia, diffuse large B-cell lymphoma, myelodysplastic syndrome, T-cell ALL as well as solid tumors of the large intestine, lung, and liver. The clinical impact of these deletions is unknown for many cancer types however a poor outcome has been observed in leukemia based disease. This gene has been strongly implicated as a regulator for ""normal  hematopoiesis"". In regards to BCP ALL, mouse models have shown that mutations in IKZF1 are not sufficient in and of themselves to cause disease.  Haploinsuffeciency in combination with BCR-ABL1 however, will accelerate leukemiagenesis possibly indicating that at least in regards to BCP ALL these are secondary events that may be necessary for the development of leukaemic clones.	Somatic	2020-11-20 16:21:28 UTC	https://civic.genome.wustl.edu/links/evidence_items/484	https://civic.genome.wustl.edu/links/variants/200	https://civic.genome.wustl.edu/links/genes/73	FALSE	DELETION
440	PTEN	5728	Deletion	Prostate Adenocarcinoma	2526	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In a study of 107 prostate adenocarcinomas, those with either hemi- or homozygous deletions of PTEN (as determined by interphase FISH) have shorter biochemical recurence-free survival than those without deletions.	17700571	PubMed	NA	Yoshimoto et al., 2007, Br. J. Cancer	NA	4	accepted	505	213	41	10	89622870	89731687	NA	NA	ENST00000371953.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-10-09 18:40:30 UTC	https://civic.genome.wustl.edu/links/evidence_items/505	https://civic.genome.wustl.edu/links/variants/213	https://civic.genome.wustl.edu/links/genes/41	FALSE	DELETION
469	IKZF1	10320	DELETION	B-lymphoblastic Leukemia/lymphoma	0080630	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	IKZF1 deletions are associated with poor outcome in patients with childhood BCR-ABL–positive B-cell precursor acute lymphoblastic leukemia even when treated with imatinib. This phenomenon was observed in patients treated in the pre-TKI era as well as those treated with imatinib when compared to wild-type patients undergoing similar treatment.	24366361	PubMed	NA	van der Veer et al., 2014, Blood	NA	3	accepted	624	200	73	7	50344378	50472799	NA	NA	ENST00000331340.3	NA	NA	NA	NA	75	GRCh37	IKZF1 deletions have been reported in a variety of cancer types including pediatric B-cell precursor acute lymphoblastic leukemia (BCP ALL), Chronic Myeloid Leukemia, diffuse large B-cell lymphoma, myelodysplastic syndrome, T-cell ALL as well as solid tumors of the large intestine, lung, and liver. The clinical impact of these deletions is unknown for many cancer types however a poor outcome has been observed in leukemia based disease. This gene has been strongly implicated as a regulator for ""normal  hematopoiesis"". In regards to BCP ALL, mouse models have shown that mutations in IKZF1 are not sufficient in and of themselves to cause disease.  Haploinsuffeciency in combination with BCR-ABL1 however, will accelerate leukemiagenesis possibly indicating that at least in regards to BCP ALL these are secondary events that may be necessary for the development of leukaemic clones.	Somatic	2020-11-20 16:21:28 UTC	https://civic.genome.wustl.edu/links/evidence_items/624	https://civic.genome.wustl.edu/links/variants/200	https://civic.genome.wustl.edu/links/genes/73	FALSE	DELETION
470	IKZF1	10320	DELETION	Acute Lymphoblastic Leukemia	9952	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	IKZF1 deletions in patients with BCR-ABL–positive adult acute lymphoblastic leukemia were associated with reduced disease-free survival compared to wild type patients.	19770381	PubMed	NA	Martinelli et al., 2009, J. Clin. Oncol.	NA	3	accepted	625	200	73	7	50344378	50472799	NA	NA	ENST00000331340.3	NA	NA	NA	NA	75	GRCh37	IKZF1 deletions have been reported in a variety of cancer types including pediatric B-cell precursor acute lymphoblastic leukemia (BCP ALL), Chronic Myeloid Leukemia, diffuse large B-cell lymphoma, myelodysplastic syndrome, T-cell ALL as well as solid tumors of the large intestine, lung, and liver. The clinical impact of these deletions is unknown for many cancer types however a poor outcome has been observed in leukemia based disease. This gene has been strongly implicated as a regulator for ""normal  hematopoiesis"". In regards to BCP ALL, mouse models have shown that mutations in IKZF1 are not sufficient in and of themselves to cause disease.  Haploinsuffeciency in combination with BCR-ABL1 however, will accelerate leukemiagenesis possibly indicating that at least in regards to BCP ALL these are secondary events that may be necessary for the development of leukaemic clones.	Somatic	2015-10-28 20:33:58 UTC	https://civic.genome.wustl.edu/links/evidence_items/625	https://civic.genome.wustl.edu/links/variants/200	https://civic.genome.wustl.edu/links/genes/73	FALSE	DELETION
471	IKZF1	10320	DELETION	Acute Lymphoblastic Leukemia	9952	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	A targeted copy number screen of 131 precursor B-ALL cases revealed that IKZF1 deletions are significantly associated with poor relapse-free and overall survival rates. Furthermore non-high-risk patients with IKZF1 deletions exhibited a ~12-fold higher relative relapse rate than those without IKZF1 deletions.	20445578	PubMed	NA	Kuiper et al., 2010, Leukemia	NA	3	accepted	626	200	73	7	50344378	50472799	NA	NA	ENST00000331340.3	NA	NA	NA	NA	75	GRCh37	IKZF1 deletions have been reported in a variety of cancer types including pediatric B-cell precursor acute lymphoblastic leukemia (BCP ALL), Chronic Myeloid Leukemia, diffuse large B-cell lymphoma, myelodysplastic syndrome, T-cell ALL as well as solid tumors of the large intestine, lung, and liver. The clinical impact of these deletions is unknown for many cancer types however a poor outcome has been observed in leukemia based disease. This gene has been strongly implicated as a regulator for ""normal  hematopoiesis"". In regards to BCP ALL, mouse models have shown that mutations in IKZF1 are not sufficient in and of themselves to cause disease.  Haploinsuffeciency in combination with BCR-ABL1 however, will accelerate leukemiagenesis possibly indicating that at least in regards to BCP ALL these are secondary events that may be necessary for the development of leukaemic clones.	Somatic	2015-10-09 18:40:30 UTC	https://civic.genome.wustl.edu/links/evidence_items/626	https://civic.genome.wustl.edu/links/variants/200	https://civic.genome.wustl.edu/links/genes/73	FALSE	DELETION
474	IKZF1	10320	DELETION	B-lymphoblastic Leukemia/lymphoma	0080630	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In patients with Philadelphia Chromosome negative B-cell precursor acute lymphoblastic leukemia, focal deletion involving 3-5 exons of IKZF1 was associated with higher cumulative incidence of relapse (CIR) than wildtype IKZF1.	24740809	PubMed	NA	Beldjord et al., 2014, Blood	NCT00222027,NCT00327678	4	accepted	629	200	73	7	50344378	50472799	NA	NA	ENST00000331340.3	NA	NA	NA	NA	75	GRCh37	IKZF1 deletions have been reported in a variety of cancer types including pediatric B-cell precursor acute lymphoblastic leukemia (BCP ALL), Chronic Myeloid Leukemia, diffuse large B-cell lymphoma, myelodysplastic syndrome, T-cell ALL as well as solid tumors of the large intestine, lung, and liver. The clinical impact of these deletions is unknown for many cancer types however a poor outcome has been observed in leukemia based disease. This gene has been strongly implicated as a regulator for ""normal  hematopoiesis"". In regards to BCP ALL, mouse models have shown that mutations in IKZF1 are not sufficient in and of themselves to cause disease.  Haploinsuffeciency in combination with BCR-ABL1 however, will accelerate leukemiagenesis possibly indicating that at least in regards to BCP ALL these are secondary events that may be necessary for the development of leukaemic clones.	Somatic	2020-11-20 16:21:28 UTC	https://civic.genome.wustl.edu/links/evidence_items/629	https://civic.genome.wustl.edu/links/variants/200	https://civic.genome.wustl.edu/links/genes/73	FALSE	DELETION
503	GSTP1	2950	DELETION	Ovarian Carcinoma	4001	NA	Cisplatin,Carboplatin,Paclitaxel	Substitutes	Predictive	Supports	D	Sensitivity/Response	Stable GSTP1 knockdown in ovarian carcinoma A2780 cell lines showed increased sensitivity to platinum-based chemotherapy drugs carboplatin, cisplatinum, carboplatin, and paclitaxel. For each drug, 3 biological replicates were performed for this study, and effectiveness was evaluated using an MTT assay. There was not a significant difference in sensitivity to other chemotherapy drugs such as gemcitabine, topotecan, and doxorubicin.	25010864	PubMed	NA	Sawers et al., 2014, Br. J. Cancer	NA	4	accepted	660	250	2473	11	67351066	67354131	NA	NA	ENST00000398606.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2016-02-17 19:50:05 UTC	https://civic.genome.wustl.edu/links/evidence_items/660	https://civic.genome.wustl.edu/links/variants/250	https://civic.genome.wustl.edu/links/genes/2473	FALSE	DELETION
1055	PTEN	5728	Deletion	Prostate Cancer	10283	NA	Everolimus	NA	Predictive	Supports	B	Sensitivity/Response	In a phase II trial on castration-resistant prostate cancer patients, FISH detection of PTEN deletion was associated with increased progression free survival (p=0.07) and with improved PSA response (p=0.02) in response to everolimus, an mTOR pathway inhibitor.	23582881	PubMed	NA	Templeton et al., 2013, Eur. Urol.	NCT00976755	3	accepted	1231	213	41	10	89622870	89731687	NA	NA	ENST00000371953.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2016-06-21 18:30:14 UTC	https://civic.genome.wustl.edu/links/evidence_items/1231	https://civic.genome.wustl.edu/links/variants/213	https://civic.genome.wustl.edu/links/genes/41	FALSE	DELETION
1456	SMAD4	4089	Deletion	Colorectal Cancer	9256	NA	Fluorouracil	NA	Predictive	Supports	B	Resistance	A retrospective study with 202 colorectal cancer patients found that SMAD4 deletion was associated with worse outcomes during 5-fluorouracil treatment. The hazard ratio for disease-free survival was 2.89 times greater for patients with SMAD4 deletion as compared to those  with normal SMAD4 diploidy (P = .045).  For overall survival, the hazard ratio was 3.23 times greater for SMAD4 deletion (P = .056).	12237773	PubMed	NA	Boulay et al., 2002, Br. J. Cancer	NA	3	accepted	1644	646	77	18	48556583	48611409	NA	NA	ENST00000342988.3	NA	NA	NA	NA	75	GRCh37	NA	N/A	2016-09-10 18:30:18 UTC	https://civic.genome.wustl.edu/links/evidence_items/1644	https://civic.genome.wustl.edu/links/variants/646	https://civic.genome.wustl.edu/links/genes/77	FALSE	DELETION
1457	LRP1B	53353	DELETION	Glioblastoma	3068	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	A retrospective study of 178 glioblastoma patients found that LRP1B deletion (complete transcript, N=4 or focal transcript deletion of >150kb, N=13) was associated with a lower progress free survival (6.4 months vs. 10.1 months; P = 0.004) and overall free survival (13.4 months vs. 17.8 months; P = 0.001). Multivariate analysis adjusting for age and type of surgery also supported LRP1B deletion being associated with a higher hazard ratio.	26428308	PubMed	NA	Tabouret et al., 2015, J. Neurol. Sci.	NA	4	accepted	1645	647	12146	2	140988992	142889270	NA	NA	ENST00000389484.3	NA	NA	NA	NA	75	GRCh37	NA	N/A	2016-10-25 04:20:38 UTC	https://civic.genome.wustl.edu/links/evidence_items/1645	https://civic.genome.wustl.edu/links/variants/647	https://civic.genome.wustl.edu/links/genes/12146	FALSE	DELETION
