id	gene	entrez_id	variant	disease	doid	phenotypes	drugs	drug_interaction_type	evidence_type	evidence_direction	evidence_level	clinical_significance	evidence_statement	citation_id	source_type	asco_abstract_id	citation	nct_ids	rating	evidence_status	evidence_id	variant_id	gene_id	chromosome	start	stop	reference_bases	variant_bases	representative_transcript	chromosome2	start2	stop2	representative_transcript2	ensembl_version	reference_build	variant_summary	variant_origin	last_review_date	evidence_civic_url	variant_civic_url	gene_civic_url	is_flagged	variant_upper
778	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Pemetrexed	NA	Predictive	Supports	B	Sensitivity/Response	Among 95 patients with NSCLC in this study, 15 had an ALK translocation. ORR of these patients compared to EGFR mutated or wild-type tumors was superior (46.7 versus 4.7 versus 16.2%, p = 0.001). TYMS expression was lower in ALK-positive cells.	21642865	PubMed	NA	Lee et al., 2011, J Thorac Oncol	NA	3	accepted	945	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-08-30 16:14:44 UTC	https://civic.genome.wustl.edu/links/evidence_items/945	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
811	NTRK1	4914	Fusion	Colorectal Cancer	9256	NA	Larotrectinib	NA	Predictive	Supports	D	Sensitivity/Response	NTRK1 fusions (one LMNA-NTRK1 and two TPM3-NTRK1) were identified in 2% of Korean colorectal cancer patients (147 patients). TrkA (NTRK1) protein expression was associated with presence of NTRK1 gene fusion. These fusions were mutually exclusive with other oncogenic drivers and showed in-vitro sensitivity to TrkA Inhibitor ARRY470  (Larotrectinib) (one cell line with fusion (KM12), one control cell line).	26716414	PubMed	NA	Park et al., 2016, Oncotarget	NA	2	accepted	978	419	3983	1	156844175	156851434	NA	NA	ENST00000524377.1	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2018-08-21 19:02:58 UTC	https://civic.genome.wustl.edu/links/evidence_items/978	https://civic.genome.wustl.edu/links/variants/419	https://civic.genome.wustl.edu/links/genes/3983	FALSE	FUSION
852	NTRK1	4914	Fusion	Lung Adenocarcinoma	3910	NA	Larotrectinib,Lestaurtinib,Crizotinib	Substitutes	Predictive	Supports	D	Sensitivity/Response	Two patients were found to harbor gene fusions maintaining the kinase domain of NTRK1 (3' partner), specifically: MPRIP-NTRK1 and CD74-NTRK1.  Both of these fusions lead to constitutive kinase activity and were found to be oncogenic. Treatment of cells expressing NTRK1 fusions with inhibitors of TRKA kinase activity (ARRY-470, CEP-701 and, to a lesser extent, crizotinib) inhibited autophosphorylation of TRKA and cell growth.	24162815	PubMed	NA	Vaishnavi et al., 2013, Nat. Med.	NA	3	accepted	1019	419	3983	1	156844175	156851434	NA	NA	ENST00000524377.1	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2020-08-12 15:43:10 UTC	https://civic.genome.wustl.edu/links/evidence_items/1019	https://civic.genome.wustl.edu/links/variants/419	https://civic.genome.wustl.edu/links/genes/3983	FALSE	FUSION
999	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Ceritinib	NA	Predictive	Supports	B	Sensitivity/Response	Updated results from ASCEND-1 trial assessing safety and activity of ceritinib in ALK rearranged locally advanced or metastatic NSCLC. 255 patients were enrolled and received at least one dose of ceritinib 750 mg/day, of whom 246 had ALK-rearranged NSCLC (Median follow-up: 11.1 months). Overall response rate was 72% [95% CI 61-82] of 83 ALK inhibitor-naive patients and 56% [49-64] of 163 ALK inhibitor-pretreated patients. Median duration of response was 17·0 months (95% CI 11.3-non-estimable [NE]) in ALK inhibitor-naive patients and 8.3 months (6.8-9.7) in ALK inhibitor-pretreated patients. Median progression-free survival was 18.4 months (95% CI 11.1-NE) in ALK inhibitor-naive patients and 6.9 months (5.6-8.7) in ALK inhibitor-pretreated patients. Brain metastases control was reported in 79% [95% CI 54-94] of 19 ALK inhibitor-naive patients and in 65% [54-76] of 75 ALK inhibitor-pretreated patients.	26973324	PubMed	NA	Kim et al., 2016, Lancet Oncol.	NCT01283516	4	accepted	1175	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-06-27 16:24:43 UTC	https://civic.genome.wustl.edu/links/evidence_items/1175	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
1011	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Crizotinib	NA	Predictive	Supports	A	Sensitivity/Response	In the Phase I study PROFILE 1001 (NCT00585195), a recommended crizotinib dose of 250 mg twice daily for 28 day cycles was established. Among 1,500 advanced NSCLC patients who were screened for ALK-rearrangement using a break-apart FISH assay, 82 patients were eligible for crizotinib treatment. Overall response rate was 57%, with 46 partial responses and one complete response. Since crizotinib inhibits MET, 33 patients with available tissue were screened for MET amplification and were found negative, further indicating that patient response was due to ALK inhibition. 31 patients were tested via RT-PCR for known EML4-ALK fusions, and 13 were shown to have EML4-ALK variant 1, four cases had variant 3, and one instance of variants 2, 3b and 5 were seen. 9 were unidentified, suggesting other fusion partners in these instances.	20979469	PubMed	NA	Kwak et al., 2010, N. Engl. J. Med.	NCT00585195	5	accepted	1187	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2020-05-08 15:46:46 UTC	https://civic.genome.wustl.edu/links/evidence_items/1187	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
1022	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Crizotinib	NA	Predictive	Supports	A	Sensitivity/Response	This two arm Phase III study named PROFILE 1007 (NCT00932893) was performed to assess crizotinib vs. established chemotherapy in non-small cell lung cancer patients positive for ALK rearrangement (assessed by break-apart FISH) with locally advanced or metastatic disease. 347 patients with disease progression after one round of platinum-based chemotherapy were randomized to receive crizotinib (N=173) or chemotherapy (N=174) consisting of pemetrexed in pemetrexed-naive patients and docetaxel for patients previously treated with pemetrexed. The primary endpoint - progression free survival (PFS) - was found to be significantly better for patients treated with crizotinib (median 7.7 months) than with chemotherapy (median 3.0 months) (hazard ratio for disease progression or death with crizotinib, 0.49; 95% CI, 0.37 to 0.64; P<0.001). Response rates were 65% for crizotinib treatment and 20% for chemotherapy (P<0.001). Improvements in quality of life were also reported.	23724913	PubMed	NA	Shaw et al., 2013, N. Engl. J. Med.	NCT00932893	5	accepted	1198	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-06-22 19:04:42 UTC	https://civic.genome.wustl.edu/links/evidence_items/1198	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
1023	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Crizotinib	NA	Predictive	Supports	A	Sensitivity/Response	This phase 3 trial named PROFILE 1014 (NCT01154140) compared crizotinib to established chemotherapy in first-line treatment for this disease. The study consisted of 343 patients with advanced or metastatic NSCLC that tested positive for ALK rearrangement via break-apart FISH assay, and had no prior systemic treatment. Patients were assigned in a 1:1 ratio to crizotinib (N=172) or pemetrexed with cisplatin or carboplatin (N=171). Progression free survival was significantly longer with crizotinib treatment than chemotherapy (10.9 vs. 7.0 months; hazard ratio for progression or death with crizotinib, 0.45; 95% CI, 0.35 to 0.60;P<0.001), and objective response rate was higher with crizotinib treatment than chemotherapy (75% vs. 45%, P<0.001). Improvement in quality of life was also reported.	25470694	PubMed	NA	Solomon et al., 2014, N. Engl. J. Med.	NCT01154140	5	accepted	1199	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-06-22 19:09:07 UTC	https://civic.genome.wustl.edu/links/evidence_items/1199	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
1024	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Crizotinib	NA	Predictive	Supports	B	Sensitivity/Response	This retrospective study of patients from the PROFILE 1001 and 1005 studies of crizotinib in advanced ALK-rearranged NSCLC assessed the potential benefit of crizotinib beyond progressive disease (CBPD), defined as continuation of crizotinib for 3 or more weeks after disease progression on crizotinib. 194 patients who had developed PD by data cutoff were studied, where 120 received crizotinib for a median duration of 19.4 weeks and 74 discontinued crizotinib after PD. No gross imbalances in clinicopathologic features of the two groups were evident.  Significantly longer overall survival was observed in the crizotinib continuing group from time of PD (16.4 vs. 3.9 months; hazard ratio 0.27, 95% CI: 0.17–0.42; P < 0.0001), and from the time of initial crizotinib (29.6 vs. 10.8 months; HR 0.30, 95% CI: 0.19–0.46; P < 0.0001).	24478318	PubMed	NA	Ou et al., 2014, Ann. Oncol.	NA	4	accepted	1200	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-08-15 19:55:59 UTC	https://civic.genome.wustl.edu/links/evidence_items/1200	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
1025	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	Brain neoplasm	Crizotinib	NA	Predictive	Supports	B	Sensitivity/Response	This prospective Phase III study named Profile 1014 on NSCLC ALK-rearranged patients assessed intracranial disease control rate (IC-DCR) in the subset of patients entering the study with preexisting treated brain metastasis (tBM). IC-DCR was significantly improved in the tBM group given crizotinib (N=39) over chemotherapy (pemetrexed + cisplatin or carboplatin; N=40) at 12 weeks (85% vs. 45%, P<0.001), and at 24 weeks (56% vs. 25%, P=0.006). Progression free survival was also significantly improved with crizotinib over chemotherapy in the tBM subgroup (9.0 vs. 4.0 months; HR 0.40; P<0.001), where in the intent to treat population it was 10.9 vs. 7.0 months (HR 0.45; P<0.001), indicating that the difficult to treat BM population obtained benefit from crizotinib at both the brain and systemic level.	27022118	PubMed	NA	Solomon et al., 2016, J. Clin. Oncol.	NCT01154140	4	accepted	1201	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-08-15 19:57:14 UTC	https://civic.genome.wustl.edu/links/evidence_items/1201	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
1026	ALK	238	Fusion	Lung Non-small Cell Carcinoma	3908	NA	Retaspimycin Hydrochloride	NA	Predictive	Supports	C	Sensitivity/Response	In this study, heavily pretreated advanced NSCLC patients with various molecular tumor makeup were treated with Hsp90 inhibitor IPI-504 to assess overall response rate. The study did not reach the targeted endpoint of 20% ORR. However, of 3/12 patients found to be ALK-rearranged via break apart FISH assay, 2 showed a partial response and the third stable disease, which was durable for 7.2 months. The authors note that the break apart FISH assay used to determine ALK-rearrangement status does not determine the identity of the ALK fusion partner and the promising results shown here may be dependent on the nature of the ALK fusion partner.	20940188	PubMed	NA	Sequist et al., 2010, J. Clin. Oncol.	NA	2	accepted	1202	499	1	2	29415640	29446394	NA	NA	ENST00000389048.3	NA	NA	NA	NA	75	GRCh37	Following the initial discovery and characterization of NPM-ALK fusion mutation in anaplastic large cell lymphoma (ALCL), EML4-ALK fusions were found to be driver mutations in a subset of lung adenocarcinomas. ALK fusions bring the C-terminal ALK kinase domain together with the N terminal region of the fusion partner, and have since been found in a range of cancers including inflammatory myofibroblastic tumor, renal cell carcinoma, diffuse large B cell lymphoma and colorectal cancer. In a Phase I trial for crizotinib, a 92% response rate was seen in the subset of patients with a specific EML4-ALK variant, which was higher than the 57% rate in the overall ALK-rearranged population, but the subpopulation numbers were insufficient to correlate variant type with patient response. Due to restricted wild-type ALK expression, and also mild phenotypes seen in ALK knockout mice, ALK fusions are desirable targets. ALK inhibitor TAE684 was used in initial characterizations of ALK fusion cancer drivers, and crizotinib – a small molecule ATP-competitor RTK inhibitor which is highly selective for ALK and MET - has been approved as first line therapy in ALK-rearranged NSCLC. ALK-rearrangement defines an NSCLC subtype that makes up 3-5% of NSCLC cases, and is characterized by higher proportions of younger patients and never smokers. EML4-ALK variant 1 is the most common ALK fusion in NSCLC and was the first to be discovered and demonstrate cancer driver properties in vitro and in mouse models. A Phase I study of crizotinib in ALK-rearranged NSCLC demonstrated an increase in overall survival when compared to standard chemotherapy. These and other initial results prompted accelerated approval for crizotinib in NSCLC. Continued clinical work demonstrated benefit with crizotinib over chemotherapy in multi-armed studies, and as first line therapy. Crizotinib was also found to remain beneficial to NSCLC patients who had progressed on crizotinib. Additionally, crizotinib was shown to increase intracranial disease control in brain metastasis occurring from ALK-rearranged NSCLC.	Somatic	2016-11-04 16:51:07 UTC	https://civic.genome.wustl.edu/links/evidence_items/1202	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1	FALSE	FUSION
