pHGG_Gene_List	Cancer_Gene_Census_CNVs
CDKN2A	AMER1
CDKN2B	APC
MTAP	APOBEC3B
PDGFRA	ARID1A
CHIC2	ATM
DMRTA1	AXIN1
FIP1L1	BIRC3
GSX2	BRCA1
LNX1	BRCA2
ASMT	CDKN2C
KIT	FANCA
CDK4	FANCC
METTL1	FANCD2
TSPAN31	FBXO11
TSFM	FBXW7
CTDSP2	GPC3
AVIL	IKZF1
OS9	KDM6A
EEF1AKMT3	LATS2
AGAP2	LRP1B
SPATA18	MAP2K4
ELAVL2	MEN1
B4GALNT1	MLH1
KDR	MSH2
CLOCK	NF1
NMU	NF2
DANCR	PAX5
RASL11B	PBRM1
SRD5A3	PRDM1
PDCL2	PTEN
SCFD2	RB1
ERVMER34-1	SMAD4
SGCB	SMARCB1
KLHL9	STK11
PIP4K2C	SUFU
ATP23	TNFAIP3
LRIG3	TSC1
DTX3	TSC2
LRRC66	VHL
IZUMO3	WT1
CPM	AKT2
LYZ	ALK
MDM2	CCNE1
YEATS4	DROSHA
CEP135	EGFR
CCT2	ERBB2
FRS2	ERG
CPSF6	FLT4
DCUN1D4	JUN
EXOC1	KAT6A
LRRC10	LMO1
	MITF
	MYC
	MYCL
	MYCN
	NKX2-1
	NSD3
	NTRK1
	PPM1D
	RAF1
	REL
	SOX2
