Gene	COSMIC	OncoKB	FM	MskImpact	MyCancerGenome	MyCancerGenomeClinTrial	CancerCommons	CancerGenomeInt	CarisMolIntel	JacksonLabs	NCI	CIVIC	cBioPortal	PEDStJude	PEDPfister	TCGABailey	Count
A1CF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ABL1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	14
ABL2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ACKR3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ACSL3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ACSL6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ACVR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
ACVR2A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
AFF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
AFF3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
AFF4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
AKAP9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
AKT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
AKT2	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	7
AKT3	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	7
ALDH2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
ALK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16
AMER1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	6
ANK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APC	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	9
APOBEC3B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AR	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	1	10
ARAF	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	10
ARHGAP26	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ARHGAP5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF10L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ARID1A	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	9
ARID1B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ARID2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	6
ARNT	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
ASPSCR1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ASXL1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	7
ASXL2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4
ATF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ATIC	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3
ATM	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	10
