id	gene	entrez_id	variant	disease	doid	phenotypes	drugs	drug_interaction_type	evidence_type	evidence_direction	evidence_level	clinical_significance	evidence_statement	citation_id	source_type	asco_abstract_id	citation	nct_ids	rating	evidence_status	evidence_id	variant_id	gene_id	chromosome	start	stop	reference_bases	variant_bases	representative_transcript	chromosome2	start2	stop2	representative_transcript2	ensembl_version	reference_build	variant_summary	variant_origin	last_review_date	evidence_civic_url	variant_civic_url	gene_civic_url	is_flagged	variant_upper
304	CCND1	595	Amplification	Lung Non-small Cell Carcinoma	3908	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	Inceased copy number of CCND1 is associated with poorer overall survival.	17070615	PubMed	NA	Gautschi et al., 2007, Lung Cancer	NA	3	accepted	354	18	8	11	69455855	69469242	NA	NA	ENST00000227507.2	NA	NA	NA	NA	75	GRCh37	CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.	Somatic	2015-06-21 16:49:52 UTC	https://civic.genome.wustl.edu/links/evidence_items/354	https://civic.genome.wustl.edu/links/variants/18	https://civic.genome.wustl.edu/links/genes/8	FALSE	AMPLIFICATION
349	FOXP1	27086	AMPLIFICATION	Diffuse Large B-cell Lymphoma	0050745	NA	NA	NA	Diagnostic	Supports	B	Positive	Amplification of FOXP1 is shown to be associated with ABC DLBCL.	18765795	PubMed	NA	Lenz et al., 2008, Proc. Natl. Acad. Sci. U.S.A.	NA	3	accepted	408	153	56	3	71003844	71633140	NA	NA	ENST00000318789.4	NA	NA	NA	NA	75	GRCh37	Amplication in FOXP1 has been shown to be associated with the ABC subtype of DLBCL.	Somatic	2016-03-16 22:09:26 UTC	https://civic.genome.wustl.edu/links/evidence_items/408	https://civic.genome.wustl.edu/links/variants/153	https://civic.genome.wustl.edu/links/genes/56	FALSE	AMPLIFICATION
350	REL	5966	AMPLIFICATION	Diffuse Large B-cell Lymphoma	0050745	NA	NA	NA	Diagnostic	Supports	B	Positive	Amplification of REL is shown to be associated with germinal-center B-cell–like diffuse large-B-cell lymphomas.	12075054	PubMed	NA	Rosenwald et al., 2002, N. Engl. J. Med.	NA	4	accepted	409	154	57	2	61108709	61149800	NA	NA	ENST00000295025.8	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-06-21 16:49:54 UTC	https://civic.genome.wustl.edu/links/evidence_items/409	https://civic.genome.wustl.edu/links/variants/154	https://civic.genome.wustl.edu/links/genes/57	FALSE	AMPLIFICATION
392	AURKA	6790	AMPLIFICATION	Esophagus Adenocarcinoma	4914	NA	Alisertib,Cisplatin	Combination	Predictive	Supports	E	Sensitivity/Response	Antitumour effect of alisertib treatment in esophageal adenocarcinomas can be intensified in combination with cisplatin.	22302096	PubMed	NA	Sehdev et al., 2012, Mol. Cancer Ther.	NA	3	accepted	456	180	61	20	54944446	54967393	NA	NA	ENST00000395913.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2016-03-16 22:09:26 UTC	https://civic.genome.wustl.edu/links/evidence_items/456	https://civic.genome.wustl.edu/links/variants/180	https://civic.genome.wustl.edu/links/genes/61	FALSE	AMPLIFICATION
401	CCNE1	898	Amplification	Ovarian Carcinoma	4001	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In a retrospective study of 88 ovarian carcinomas, 18 had amplification of CCNE1. Those with amplification had worse overall and disease-free survival.	20336784	PubMed	NA	Nakayama et al., 2010, Cancer	NA	4	accepted	466	187	11	19	30302805	30315215	NA	NA	ENST00000262643.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-08-05 19:02:18 UTC	https://civic.genome.wustl.edu/links/evidence_items/466	https://civic.genome.wustl.edu/links/variants/187	https://civic.genome.wustl.edu/links/genes/11	FALSE	AMPLIFICATION
405	EGFR	1956	Amplification	Barrett's Adenocarcinoma	7941	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In patients with Barrett's adenocarcinoma, those with amplification of EGFR had shorter disease-specific survial.	20840671	PubMed	NA	Marx et al., 2010, Histopathology	NA	3	accepted	470	190	19	7	55086794	55279321	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-08-05 18:46:45 UTC	https://civic.genome.wustl.edu/links/evidence_items/470	https://civic.genome.wustl.edu/links/variants/190	https://civic.genome.wustl.edu/links/genes/19	FALSE	AMPLIFICATION
406	EGFR	1956	Amplification	Cervical Squamous Cell Carcinoma	3744	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In patients with cervical squamous cell carcinoma, those with gene amplification of EGFR had worse overall survival.	21730982	PubMed	NA	Iida et al., 2011, Br. J. Cancer	NA	3	accepted	471	190	19	7	55086794	55279321	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-08-05 19:02:17 UTC	https://civic.genome.wustl.edu/links/evidence_items/471	https://civic.genome.wustl.edu/links/variants/190	https://civic.genome.wustl.edu/links/genes/19	FALSE	AMPLIFICATION
408	EGFR	1956	Amplification	Head And Neck Squamous Cell Carcinoma	5520	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	The group of 43 out of 75 tumor samples with increased copy number or amplification of EGFR as determined by FISH (FISH-positive) had worse progression-free and overall survival than FISH-negative tumors.	16943533	PubMed	NA	Chung et al., 2006, J. Clin. Oncol.	NA	4	accepted	473	190	19	7	55086794	55279321	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-12-22 23:00:30 UTC	https://civic.genome.wustl.edu/links/evidence_items/473	https://civic.genome.wustl.edu/links/variants/190	https://civic.genome.wustl.edu/links/genes/19	FALSE	AMPLIFICATION
427	NCOA3	8202	AMPLIFICATION	Breast Cancer	1612	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In patients with breast cancer, those with amplification of NCOA3 had shorter disease-specific survival.	23322234	PubMed	NA	Burandt et al., 2013, Breast Cancer Res. Treat.	NA	3	accepted	492	204	74	20	46130646	46285621	NA	NA	ENST00000372004.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-08-05 19:02:18 UTC	https://civic.genome.wustl.edu/links/evidence_items/492	https://civic.genome.wustl.edu/links/variants/204	https://civic.genome.wustl.edu/links/genes/74	FALSE	AMPLIFICATION
439	PIK3CA	5290	Amplification	Gastric Adenocarcinoma	3717	NA	NA	NA	Prognostic	Supports	B	Poor Outcome	In patients with gastric cancer, those with amplification of PIK3CA had shorter overall survival than those without amplification.	22292935	PubMed	NA	Shi et al., 2012, BMC Cancer	NA	3	accepted	504	212	37	3	178866311	178957881	NA	NA	ENST00000263967.3	NA	NA	NA	NA	75	GRCh37	NA	Somatic	2015-10-09 18:40:30 UTC	https://civic.genome.wustl.edu/links/evidence_items/504	https://civic.genome.wustl.edu/links/variants/212	https://civic.genome.wustl.edu/links/genes/37	FALSE	AMPLIFICATION
