gene	variant_upper	protein_start	protein_end	id	entrez_id	variant	disease	doid	phenotypes	drugs	drug_interaction_type	evidence_type	evidence_direction	evidence_level	clinical_significance	evidence_statement	citation_id	source_type	asco_abstract_id	citation	nct_ids	rating	evidence_status	evidence_id	variant_id	gene_id	chromosome	start	stop	reference_bases	variant_bases	representative_transcript	chromosome2	start2	stop2	representative_transcript2	ensembl_version	reference_build	variant_summary	variant_origin	last_review_date	evidence_civic_url	variant_civic_url	gene_civic_url	is_flagged
EGFR	EXON 19 DELETION	729	761	237	1956	Exon 19 Deletion	Lung Non-small Cell Carcinoma	3908	NA	Gefitinib	NA	Predictive	Supports	D	Sensitivity/Response	Exon 19 deletion has been shown to be correlated with gefitinib response.	16730237	PubMed	NA	Ji et al., 2006, Cancer Cell	NA	4	accepted	273	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2016-02-17 19:50:06 UTC	https://civic.genome.wustl.edu/links/evidence_items/273	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	353	1956	Exon 19 Deletion	Lung Non-small Cell Carcinoma	3908	NA	Gefitinib,Erlotinib	Substitutes	Predictive	Supports	B	Sensitivity/Response	NSCLC patients with exon 19 deletions in EGFR had longer overall survival than patients with an L858R mutation when treated with gefitinib or erlotinib (38 versus 17 months; P = 0.04).	16818686	PubMed	NA	Jackman et al., 2006, Clin. Cancer Res.	NA	4	accepted	413	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2017-07-06 19:58:55 UTC	https://civic.genome.wustl.edu/links/evidence_items/413	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	713	1956	Exon 19 Deletion	Lung Adenocarcinoma	3910	NA	Afatinib	NA	Predictive	Supports	B	Sensitivity/Response	A phase III clinical trial (NCT00949650) found that median progression free survival among patients with EGFR exon 19 deletion was 13.6 months for afatinib and 6.9 months for chemotherapy (HR, 0.47; 95% CI, 0.34 to 0.65; P = .001). 308 patients had either exon 19 or L858 mutations.	23816960	PubMed	NA	Sequist et al., 2013, J. Clin. Oncol.	NCT00949650	4	accepted	880	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2020-08-12 15:43:10 UTC	https://civic.genome.wustl.edu/links/evidence_items/880	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	714	1956	Exon 19 Deletion	Lung Non-small Cell Carcinoma	3908	NA	Afatinib	NA	Predictive	Supports	D	Sensitivity/Response	Stable HEK293 cell lines expressing mutant EGFR cDNAs were created (using a pQCLIN retroviral vector) and their drug sensitivities to afatinib were examined by MTT assay. Phorphorylation of EGFR was assayed by Western blot. The 50% inhibitory concentration (IC50) of afatinib was significantly lower in cells harboring EGFR exon 19 deletion than in cells harboring EGFR L858R.	25862853	PubMed	NA	Banno et al., 2015, Anticancer Res.	NA	2	accepted	881	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2016-02-17 19:50:04 UTC	https://civic.genome.wustl.edu/links/evidence_items/881	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	715	1956	Exon 19 Deletion	Lung Adenocarcinoma	3910	NA	Afatinib	NA	Predictive	Supports	B	Sensitivity/Response	In a phase 2 study (NCT00525148), patients with lung adenocarcinoma (stage IIIb with pleural effusion or stage IV) and EGFR mutations, treated with afatinib, were assessed by objective response. In total, 129 patients were treated with afatinib. 66% of the 106 patients with two common activating EGFR mutations (exon 19 deletion or L858R) had an objective response compared to 39% of 23 patients with less common EGFR mutations.	22452895	PubMed	NA	Yang et al., 2012, Lancet Oncol.	NCT00525148	3	accepted	882	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2020-08-12 15:43:10 UTC	https://civic.genome.wustl.edu/links/evidence_items/882	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	717	1956	Exon 19 Deletion	Lung Non-small Cell Carcinoma	3908	NA	Erlotinib	NA	Predictive	Supports	B	Sensitivity/Response	A randomized phase 3 trial involving 173 NSCLC patients with EGFR mutations (exon 19 deletion or L858R mutation in exon 21) with no history of chemotherapy for metastatic disease. Patients were randomly allocated (1:1) to receive either erlotinib or standard chemotherapy. The primary endpoint was progression-free survival (PFS). Median PFS was 9.7 months in the erlotinib group, compared with 5.2 months in the standard chemotherapy group.	22285168	PubMed	NA	Rosell et al., 2012, Lancet Oncol.	NCT00446225	3	accepted	884	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2016-02-10 23:14:51 UTC	https://civic.genome.wustl.edu/links/evidence_items/884	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	802	1956	Exon 19 Deletion	Lung Non-small Cell Carcinoma	3908	NA	Afatinib	NA	Predictive	Supports	D	Sensitivity/Response	Cells harboring an exon 19 deletion were sensitive to afatinib. This study performed drug response assays using five human NSCLC cell lines with various combinations of EGFR mutations. In order to directly compare the sensitivity of multiple EGFR mutations to EGFR-TKIs the authors also generated multiple EGFR transduced Ba/F3 stable cell lines and evaluated sensitivity to EGFR-TKIs by MTS assay.	26515464	PubMed	NA	Hirano et al., 2015, Oncotarget	NA	2	accepted	969	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2016-02-17 19:50:04 UTC	https://civic.genome.wustl.edu/links/evidence_items/969	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	814	1956	Exon 19 Deletion	Lung Adenocarcinoma	3910	NA	Afatinib	NA	Predictive	Supports	B	Sensitivity/Response	Afatinib is an irreversible covalent inhibitor of EGFR (second generation). This Phase III clinical trial (LUX-Lung 6; NCT01121393) was performed in Asian patients with EGFR mutant advanced NSCLC. 364 eligible patients with EGFR mutations were assigned to afatinib (n=242) or gemcitabine and cisplatin (n=122) treatment. The trial observed significantly longer median progression-free survival with afatinib vs. gemcitabine and cisplatin treatment (11.0 vs. 5.6 months). Afatinib/Chemotherapy group compositions: 51.2/50.8 % del 19; 38/37.7 % Leu858Arg; 10.8/11.5 % Uncommon.	24439929	PubMed	NA	Wu et al., 2014, Lancet Oncol.	NCT01121393	4	accepted	981	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2020-08-12 15:43:10 UTC	https://civic.genome.wustl.edu/links/evidence_items/981	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	816	1956	Exon 19 Deletion	Lung Adenocarcinoma	3910	NA	Afatinib	NA	Predictive	Supports	B	Sensitivity/Response	In analysis of LUX-Lung 3 and LUX-Lung 6 trials (NCT00949650 and NCT01121393), of EGFR mutant NSCLC, median overall survival with afatinib treatment was seen to be significantly improved over chemotherapy (33.3 vs 21.1 and 31.4 vs 18.4 months in LUX-Lung 3 and LUX-Lung 6 respectively).  This effect was observed in the EGFR exon 19 deletion subgroup, but not in the L858R mutant subgroup.	25589191	PubMed	NA	Yang et al., 2015, Lancet Oncol.	NCT00949650,NCT01121393	4	accepted	983	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2020-08-12 15:43:10 UTC	https://civic.genome.wustl.edu/links/evidence_items/983	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
EGFR	EXON 19 DELETION	729	761	1478	1956	Exon 19 Deletion	Lung Non-small Cell Carcinoma	3908	NA	Gefitinib	NA	Predictive	Supports	B	Sensitivity/Response	90 NSCLC patients with stage IIIB/IV chemotherapy-resistant tumors were treated with gefitinib, and exon 19 deletion of EGFR was associated with longer time to treatment failure than those with wild-type EGFR (median 8.9 versus 2.1). In multivariate analysis, exon 19 deletion was a significant predictive factor for TTF (HR = 0.0320; P < .0001).	18509184	PubMed	NA	Yang et al., 2008, J. Clin. Oncol.	NA	3	accepted	1666	133	19	7	55242415	55242513	NA	NA	ENST00000275493.2	NA	NA	NA	NA	75	GRCh37	Deletions within exon 19 of EGFR are most common in lung cancer. These deletions, in non-small cell lung cancer, have been shown to be sensitive to the EGFR tyrosine kinase inhibitors gefitinib, afatinib, and erlotinib. There is also data to suggest that this event is a good prognostic marker in lung adenocarcinoma. Examples of exon 19 deletions include: p.746_A750delELREA, p.747_753delinsS, p.747_752delLREATS, and p.747_751delLREAT.	Somatic	2016-09-15 16:44:53 UTC	https://civic.genome.wustl.edu/links/evidence_items/1666	https://civic.genome.wustl.edu/links/variants/133	https://civic.genome.wustl.edu/links/genes/19	FALSE
