id	gene	entrez_id	variant	disease	doid	phenotypes	drugs	drug_interaction_type	evidence_type	evidence_direction	evidence_level	clinical_significance	evidence_statement	citation_id	source_type	asco_abstract_id	citation	nct_ids	rating	evidence_status	evidence_id	variant_id	gene_id	chromosome	start	stop	reference_bases	variant_bases	representative_transcript	chromosome2	start2	stop2	representative_transcript2	ensembl_version	reference_build	variant_summary	variant_origin	last_review_date	evidence_civic_url	variant_civic_url	gene_civic_url	is_flagged	variant_upper
127	FGFR3	2261	FGFR3::BAIAP2L1	Bladder Carcinoma	4007	NA	PD173074	NA	Predictive	Supports	D	Sensitivity/Response	Following identification of this fusion in a patient, this fusion was expressed in HEK 293T cells leading to oligomerization in the absence of ligand, induced morphologic changes in the cell and increased cellular proliferation consistent with FGFR activation. Mouse xenografts using the bladder cell line SW780 which harbors an FGFR3-BAIAP2L1 fusion showed reduced tumor burden when treated with the FGFR inhibitor PD173074.	23558953	PubMed	NA	Wu et al., 2013, Cancer Discov	NA	3	accepted	144	53	23	4	1795039	1810599	NA	NA	ENST00000340107.4	7	97991744	97920963	ENST00000005260.8	75	GRCh37	In a clinical sequencing program for advanced stage cancers, Wu et al (2013, Cancer Discovery) has identified a number of FGFR fusions in patients with many different cancer types. These fusions were also found to retain oligomerization capability, and result in enhanced cell proliferation. These fusions were shown to respond to pazopanib. The authors use these cases to highlight the need for enhanced clinical sequencing efforts.	Somatic	2019-02-22 15:05:44 UTC	https://civic.genome.wustl.edu/links/evidence_items/144	https://civic.genome.wustl.edu/links/variants/53	https://civic.genome.wustl.edu/links/genes/23	FALSE	FGFR3::BAIAP2L1
187	ABL1	25	BCR::ABL	Chronic Myeloid Leukemia	8552	NA	NA	NA	Diagnostic	Does Not Support	C	Positive	Data from deep sequencing of a Ph-negative clone of a Ph-positive CML patient has found a driving mutation in DNMT3A that preceeded the BCR-ABL fusion, and may imply the possibility that BCR-ABL is not universally the initiating event in CML.	25212276	PubMed	NA	Schmidt et al., 2014, Leukemia	NA	2	accepted	213	1	4	22	23522397	23632600	NA	NA	ENST00000305877.8	9	133729451	133763063	ENST00000318560.5	75	GRCh37	The BCR-ABL fusion protein, commonly referred to as the Philadelphia chromosome, is one of the most studied fusion genes in cancer. It has widely been considered the initiating event in chronic myelogenous leukemia (CML). However, despite its ability to initiate disease in mice, its status as an initiating mutation is in dispute. In what is commonly used as the poster-child for targeted therapeutics, the development and use of imatinib in the clinic has led to profound improvements in the prognosis of the disease. However, imatinib resistance is still seen in patients with mutations in the ABL kinase domain of the fusion, most notably the T315I variant. In patients resistant to imatinib, either acquired or otherwise, second generation BCR-ABL TKI's (dasatinib and nilotinib) have seen some success in delivering a tumor response. Third generation ABL1 inhibitor ponatinib is the only FDA approved drug with activity against T315I . However due to risk of life-threatening blood clots and severe narrowing of blood vessels ponatinib is ONLY approved for T315I-positive CML or T315I-positive Ph+ ALL or in cases of CML, Ph+ ALL with resistance or intolerance to other approved ABL1 inhibitors.	Somatic	2016-02-17 19:49:55 UTC	https://civic.genome.wustl.edu/links/evidence_items/213	https://civic.genome.wustl.edu/links/variants/1	https://civic.genome.wustl.edu/links/genes/4	FALSE	BCR::ABL
193	ABL1	25	BCR::ABL	Chronic Myeloid Leukemia	8552	NA	NA	NA	Diagnostic	Supports	A	Positive	The presence of BCR-ABL fusion is considered the characterizing feature of chronic myeloid leukemia, and has been widely thought of as the initiating event in the disease.	20537386	PubMed	NA	An et al., 2010, Leuk. Res.	NA	4	accepted	220	1	4	22	23522397	23632600	NA	NA	ENST00000305877.8	9	133729451	133763063	ENST00000318560.5	75	GRCh37	The BCR-ABL fusion protein, commonly referred to as the Philadelphia chromosome, is one of the most studied fusion genes in cancer. It has widely been considered the initiating event in chronic myelogenous leukemia (CML). However, despite its ability to initiate disease in mice, its status as an initiating mutation is in dispute. In what is commonly used as the poster-child for targeted therapeutics, the development and use of imatinib in the clinic has led to profound improvements in the prognosis of the disease. However, imatinib resistance is still seen in patients with mutations in the ABL kinase domain of the fusion, most notably the T315I variant. In patients resistant to imatinib, either acquired or otherwise, second generation BCR-ABL TKI's (dasatinib and nilotinib) have seen some success in delivering a tumor response. Third generation ABL1 inhibitor ponatinib is the only FDA approved drug with activity against T315I . However due to risk of life-threatening blood clots and severe narrowing of blood vessels ponatinib is ONLY approved for T315I-positive CML or T315I-positive Ph+ ALL or in cases of CML, Ph+ ALL with resistance or intolerance to other approved ABL1 inhibitors.	Somatic	2015-06-21 16:49:47 UTC	https://civic.genome.wustl.edu/links/evidence_items/220	https://civic.genome.wustl.edu/links/variants/1	https://civic.genome.wustl.edu/links/genes/4	FALSE	BCR::ABL
203	ABL1	25	BCR::ABL	Acute Myeloid Leukemia	9119	NA	Imatinib	NA	Predictive	Supports	D	Resistance	BCR-ABL fusions have been found to contribute to imatinib resistance in AML cell lines.	12476305	PubMed	NA	Nimmanapalli et al., 2002, Oncogene	NA	3	accepted	232	1	4	22	23522397	23632600	NA	NA	ENST00000305877.8	9	133729451	133763063	ENST00000318560.5	75	GRCh37	The BCR-ABL fusion protein, commonly referred to as the Philadelphia chromosome, is one of the most studied fusion genes in cancer. It has widely been considered the initiating event in chronic myelogenous leukemia (CML). However, despite its ability to initiate disease in mice, its status as an initiating mutation is in dispute. In what is commonly used as the poster-child for targeted therapeutics, the development and use of imatinib in the clinic has led to profound improvements in the prognosis of the disease. However, imatinib resistance is still seen in patients with mutations in the ABL kinase domain of the fusion, most notably the T315I variant. In patients resistant to imatinib, either acquired or otherwise, second generation BCR-ABL TKI's (dasatinib and nilotinib) have seen some success in delivering a tumor response. Third generation ABL1 inhibitor ponatinib is the only FDA approved drug with activity against T315I . However due to risk of life-threatening blood clots and severe narrowing of blood vessels ponatinib is ONLY approved for T315I-positive CML or T315I-positive Ph+ ALL or in cases of CML, Ph+ ALL with resistance or intolerance to other approved ABL1 inhibitors.	Somatic	2016-02-17 19:50:06 UTC	https://civic.genome.wustl.edu/links/evidence_items/232	https://civic.genome.wustl.edu/links/variants/1	https://civic.genome.wustl.edu/links/genes/4	FALSE	BCR::ABL
224	ABL1	25	BCR::ABL	Acute Myeloid Leukemia	9119	NA	Imatinib	NA	Predictive	Supports	A	Sensitivity/Response	Treatment of Philadelphia chromosome positive leukemias with imatinib results in high rates of complete remission in patients with CML.	12476305	PubMed	NA	Nimmanapalli et al., 2002, Oncogene	NA	5	accepted	259	1	4	22	23522397	23632600	NA	NA	ENST00000305877.8	9	133729451	133763063	ENST00000318560.5	75	GRCh37	The BCR-ABL fusion protein, commonly referred to as the Philadelphia chromosome, is one of the most studied fusion genes in cancer. It has widely been considered the initiating event in chronic myelogenous leukemia (CML). However, despite its ability to initiate disease in mice, its status as an initiating mutation is in dispute. In what is commonly used as the poster-child for targeted therapeutics, the development and use of imatinib in the clinic has led to profound improvements in the prognosis of the disease. However, imatinib resistance is still seen in patients with mutations in the ABL kinase domain of the fusion, most notably the T315I variant. In patients resistant to imatinib, either acquired or otherwise, second generation BCR-ABL TKI's (dasatinib and nilotinib) have seen some success in delivering a tumor response. Third generation ABL1 inhibitor ponatinib is the only FDA approved drug with activity against T315I . However due to risk of life-threatening blood clots and severe narrowing of blood vessels ponatinib is ONLY approved for T315I-positive CML or T315I-positive Ph+ ALL or in cases of CML, Ph+ ALL with resistance or intolerance to other approved ABL1 inhibitors.	Somatic	2016-03-03 00:09:52 UTC	https://civic.genome.wustl.edu/links/evidence_items/259	https://civic.genome.wustl.edu/links/variants/1	https://civic.genome.wustl.edu/links/genes/4	FALSE	BCR::ABL
225	ABL1	25	BCR::ABL	Chronic Myeloid Leukemia	8552	NA	Imatinib	NA	Predictive	Supports	A	Sensitivity/Response	The clinical use of imatinib in patients with BCR-ABL fusion has resulted in drastic prognostic improvements in patients with CML.	20537386	PubMed	NA	An et al., 2010, Leuk. Res.	NA	5	accepted	260	1	4	22	23522397	23632600	NA	NA	ENST00000305877.8	9	133729451	133763063	ENST00000318560.5	75	GRCh37	The BCR-ABL fusion protein, commonly referred to as the Philadelphia chromosome, is one of the most studied fusion genes in cancer. It has widely been considered the initiating event in chronic myelogenous leukemia (CML). However, despite its ability to initiate disease in mice, its status as an initiating mutation is in dispute. In what is commonly used as the poster-child for targeted therapeutics, the development and use of imatinib in the clinic has led to profound improvements in the prognosis of the disease. However, imatinib resistance is still seen in patients with mutations in the ABL kinase domain of the fusion, most notably the T315I variant. In patients resistant to imatinib, either acquired or otherwise, second generation BCR-ABL TKI's (dasatinib and nilotinib) have seen some success in delivering a tumor response. Third generation ABL1 inhibitor ponatinib is the only FDA approved drug with activity against T315I . However due to risk of life-threatening blood clots and severe narrowing of blood vessels ponatinib is ONLY approved for T315I-positive CML or T315I-positive Ph+ ALL or in cases of CML, Ph+ ALL with resistance or intolerance to other approved ABL1 inhibitors.	Somatic	2015-07-07 22:48:14 UTC	https://civic.genome.wustl.edu/links/evidence_items/260	https://civic.genome.wustl.edu/links/variants/1	https://civic.genome.wustl.edu/links/genes/4	FALSE	BCR::ABL
226	ABL1	25	BCR::ABL	Chronic Myeloid Leukemia	8552	NA	Dasatinib,Nilotinib	Substitutes	Predictive	Supports	A	Sensitivity/Response	The use of nilotinib and dasatinib, second-generation BCR-ABL targeted therapies, has been effective in patients resistant to imatinib, leading to their FDA-approval.	20537386	PubMed	NA	An et al., 2010, Leuk. Res.	NA	4	accepted	261	1	4	22	23522397	23632600	NA	NA	ENST00000305877.8	9	133729451	133763063	ENST00000318560.5	75	GRCh37	The BCR-ABL fusion protein, commonly referred to as the Philadelphia chromosome, is one of the most studied fusion genes in cancer. It has widely been considered the initiating event in chronic myelogenous leukemia (CML). However, despite its ability to initiate disease in mice, its status as an initiating mutation is in dispute. In what is commonly used as the poster-child for targeted therapeutics, the development and use of imatinib in the clinic has led to profound improvements in the prognosis of the disease. However, imatinib resistance is still seen in patients with mutations in the ABL kinase domain of the fusion, most notably the T315I variant. In patients resistant to imatinib, either acquired or otherwise, second generation BCR-ABL TKI's (dasatinib and nilotinib) have seen some success in delivering a tumor response. Third generation ABL1 inhibitor ponatinib is the only FDA approved drug with activity against T315I . However due to risk of life-threatening blood clots and severe narrowing of blood vessels ponatinib is ONLY approved for T315I-positive CML or T315I-positive Ph+ ALL or in cases of CML, Ph+ ALL with resistance or intolerance to other approved ABL1 inhibitors.	Somatic	2017-05-31 00:51:29 UTC	https://civic.genome.wustl.edu/links/evidence_items/261	https://civic.genome.wustl.edu/links/variants/1	https://civic.genome.wustl.edu/links/genes/4	FALSE	BCR::ABL
227	ALK	238	EML4::ALK	Lung Non-small Cell Carcinoma	3908	NA	Crizotinib	NA	Predictive	Supports	C	Sensitivity/Response	A 28 year-old patient with non-small cell lung cancer that failed conventional therapy was found to harbor the EML4-ALK (E13;A20) fusion using reverse transcription PCR. Treatment with 250mg crizotinib twice daily resulted in rapid improvement of symptoms and disease control for 5 months.	20979473	PubMed	NA	Choi et al., 2010, N. Engl. J. Med.	NA	4	accepted	262	5	1	2	42396490	42522656	NA	NA	ENST00000318522.5	2	29415640	29446394	ENST00000389048.3	75	GRCh37	The EML4-ALK fusion variant 1 consisting of ALK kinase domain (exons 20-29) fused to EML4 exons 1-13 is the most common EML4-ALK variant, and was discovered in non-small cell lung cancer. Multiple EML4 breakpoint shave been described with differential sensitivity to inhibitors with variant 1 showing greater sensitivity than 3a in cell lines. EML4-ALK is crizotinib sensitive; however, several mutations that confer resistance mutations have been described in case studies. In the only clinical trial for crizotinib that included determination of EML4-ALK variant type in a subset of its participants, a very high response rate was observed, although the numbers were insufficient to validate correlation of variant type to outcome. Preclinical studies with this variant have indicated sensitivity to Hsp90 inhibitors.	Somatic	2020-09-01 17:00:06 UTC	https://civic.genome.wustl.edu/links/evidence_items/262	https://civic.genome.wustl.edu/links/variants/5	https://civic.genome.wustl.edu/links/genes/1	FALSE	EML4::ALK
259	FGFR2	2263	FGFR2::MGEA5	Cholangiocarcinoma	4947	NA	Ponatinib	NA	Predictive	Supports	C	Sensitivity/Response	In a single patient with this fusion in intrahepatic cholangiocarcinoma. Ponatinib treatment resulted in necrosis and shrinkage of the primary and metastatic sites and overall stable disease. However, this response did not meet criteria for RECIST partial response.	24550739	PubMed	NA	Borad et al., 2014, PLoS Genet.	NA	2	accepted	295	52	22	10	123243212	123357917	NA	NA	ENST00000457416.2	10	103544209	103552700	ENST00000361464.3	75	GRCh37	In a clinical sequencing program for advanced stage cancers, Wu et al (2013, Cancer Discovery) has idenified a number of FGFR fusions in patients with many different cancer types. These fusions were also found to retain oligomerization capability, and result in enhanced cell proliferation. Cell lines harboring these fusions were shown to respond to pazopanib. Additionally, tumor size reduction was achieved by both ponatinib and pazopanib treatments administered separately in a single patient with intrahepatic cholangiocarcinoma and this fusion. The authors use these cases to highlight the need for enhanced clinical sequencing efforts.	Somatic	2016-02-17 19:49:55 UTC	https://civic.genome.wustl.edu/links/evidence_items/295	https://civic.genome.wustl.edu/links/variants/52	https://civic.genome.wustl.edu/links/genes/22	FALSE	FGFR2::MGEA5
260	FGFR2	2263	FGFR2::TACC3	Cholangiocarcinoma	4947	NA	Ponatinib,Pazopanib	Sequential	Predictive	Supports	C	Sensitivity/Response	In a 43 year old female patient with this fusion in intrahepatic cholangiocarcinoma. Both pazopanib and ponatinib separately resulted in minor tumor shrinkage. This fusion is also shown to be recurrent in multiple other cancer types.	24550739	PubMed	NA	Borad et al., 2014, PLoS Genet.	NA	3	accepted	296	54	22	4	123243212	123357598	NA	NA	ENST00000358487.5	4	1723266	1741505	ENST00000313288.4	75	GRCh37	In a clinical sequencing program for advanced stage cancers, Wu et al has identified a number of FGFR fusions in patients with many different cancer types. These fusions were also found to retain oligomerization capability, and result in enhanced cell proliferation. These fusions were shown to respond to pazopanib. The authors use these cases to highlight the need for enhanced clinical sequencing efforts.	Somatic	2017-05-31 00:16:50 UTC	https://civic.genome.wustl.edu/links/evidence_items/296	https://civic.genome.wustl.edu/links/variants/54	https://civic.genome.wustl.edu/links/genes/22	FALSE	FGFR2::TACC3
